Site,Station,Region,Region2,Fjord,Fjord2,In/Out,Date,Time ,Depth [m],Volume [L],Latitude,Longitude,temperature [∞C],salinity [psu],density,O2umol.l,O sat. [%],Attenuation (optical beam transmission),Fluorometer,salinity [psu],PO4_umol.l,Si_umol.l,NO2_umol.l,NO3_umol.l,NH4_umol.l,Glacial influence,Bioclimatic_subzone
HE533.Prok.F02.7B_S34,HE533.F02.7B,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,0,25.05.2019,08:00,0-40 pooled,12,69.6376,17.7832,5.84,34.04,26.82,311.04,99.61,90.8,1.35,34.04,0.26,2.47,0.11,2.54,0.65,No,subarctic
HE533.Prok.F02.7C_S23,HE533.F02.7C,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,0,25.05.2019,08:00,0-40 pooled,12,69.6376,17.7832,5.84,34.04,26.82,311.04,99.61,90.8,1.35,34.04,0.26,2.47,0.11,2.54,0.65,No,subarctic
HE533.Prok.F02.8A_S25,HE533.F02.8A,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,25.05.2019,13:00,0-40 pooled,12,69.5092,18.3193,5.49,33.64,26.54,311.14,98.56,90.93,1.4,33.64,0.35,2.86,0.13,4.27,0.52,No,subarctic
HE533.Prok.F02.8B_S26,HE533.F02.8B,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,25.05.2019,13:00,0-40 pooled,12,69.5092,18.3193,5.49,33.64,26.54,311.14,98.56,90.93,1.4,33.64,0.35,2.86,0.13,4.27,0.52,No,subarctic
HE533.Prok.F02.8C_S27,HE533.F02.8C,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,25.05.2019,13:00,0-40 pooled,12,69.5092,18.3193,5.49,33.64,26.54,311.14,98.56,90.93,1.4,33.64,0.35,2.86,0.13,4.27,0.52,No,subarctic
HE533.Prok.F02.9A_S29,HE533.F02.9A,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,1,26.05.2019,08:00,0-40 pooled,12,69.2602,19.3616,5,32.05,25.33,352.88,109.36,77.3,3.32,32.05,0.18,3.11,0.55,0.84,0.42,No,subarctic
HE533.Prok.F02.9B_S30,HE533.F02.9B,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,1,26.05.2019,08:00,0-40 pooled,12,69.2602,19.3616,5,32.05,25.33,352.88,109.36,77.3,3.32,32.05,0.18,3.11,0.55,0.84,0.42,No,subarctic
HE533.Prok.F02.9C_S31,HE533.F02.9C,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,1,26.05.2019,08:00,0-40 pooled,12,69.2602,19.3616,5,32.05,25.33,352.88,109.36,77.3,3.32,32.05,0.18,3.11,0.55,0.84,0.42,No,subarctic
HE431.Prok.F02.03_S3,HE431.F02.03,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,24.08.2014,04:33,3m-30m,12.5,68.7867,15.4055,9.26,33.74,26.09,270.64,93.59,92.2,0.88,33.74,1.31,0.12,0.19,1.59,0.54,No,subarctic
HE431.Prok.F02.04_S4,HE431.F02.04,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,24.08.2014,08:45,3m-30m,12.5,68.4748,14.915,9.33,33.83,26.14,278.8,95.24,91.01,1.37,33.83,2.06,0.16,0.22,1.99,0.5,No,subarctic
